,IN_TIME,CON_NUM,CON_SIZE,Out_Time,Assigned Locations
0,14-03-2022 15:46,SPRE0057868,20,24-06-2021 17:02,J0000
1,14-03-2022 15:46,ANKJ1447873,20,24-06-2021 17:02,J0001
2,14-03-2022 15:46,ACLU3053768,20,24-06-2021 17:02,J0002
3,17-04-2022 04:41,BUDE0578181,40,26-08-2021 01:41,J0200
4,17-04-2022 04:41,UPDU1678037,20,23-08-2021 18:32,A0000
5,17-04-2022 04:41,FZPU2318420,20,23-08-2021 18:32,A0001
6,17-04-2022 04:41,EFYD6689495,20,23-08-2021 18:32,A0002
7,17-04-2022 04:41,SHYS7657100,20,23-08-2021 18:32,A0003
8,17-04-2022 04:41,ECHT3406160,20,23-08-2021 18:32,A0100
9,17-04-2022 04:41,MPQD4457059,20,23-08-2021 18:32,A0101
10,17-04-2022 04:41,EMVG7004395,20,23-08-2021 18:32,A0102
11,17-04-2022 04:41,RNFL4704213,20,23-08-2021 18:32,A0103
12,17-04-2022 04:41,KASH0692064,20,23-08-2021 18:32,A0200
13,17-04-2022 04:41,CGHU4430259,20,23-08-2021 18:32,A0201
14,17-04-2022 04:41,ZLXU8292183,20,23-08-2021 18:32,A0202
15,17-04-2022 04:41,SDYU6422343,20,23-08-2021 18:32,A0203
16,17-04-2022 04:41,EINJ6527750,20,23-08-2021 18:32,A0300
17,17-04-2022 04:41,INOE3879979,20,23-08-2021 18:32,A0301
18,17-04-2022 04:41,KOLX9140559,20,23-08-2021 18:32,A0302
19,17-04-2022 04:41,WQHH9597517,20,23-08-2021 18:32,A0303
20,17-04-2022 04:41,ZHXH0287646,20,23-08-2021 18:32,A0400
21,17-04-2022 04:41,EPGG1844361,20,23-08-2021 18:32,A0401
22,17-04-2022 04:41,NOBM6093496,20,25-08-2021 11:19,J0300
23,17-04-2022 04:41,JKSB5893535,20,25-08-2021 11:19,J0301
24,17-04-2022 04:41,WYJK6436245,40,24-08-2021 08:54,A0600
25,17-04-2022 04:41,ENVM9006489,40,24-08-2021 08:54,A0601
26,17-04-2022 04:41,TAOD7578130,40,24-08-2021 08:54,A0602
27,17-04-2022 04:41,RQQE1536180,40,26-08-2021 01:41,J0201
28,17-04-2022 04:41,OIEW7141568,40,26-08-2021 01:41,J0202
29,17-04-2022 04:41,KJXE8206734,40,26-08-2021 01:41,J0500
30,17-04-2022 04:41,OJWD1518778,40,26-08-2021 01:41,J0501
31,17-04-2022 04:41,JQBF1615361,40,26-08-2021 01:41,J0502
32,17-04-2022 04:41,XOPQ0457158,40,26-08-2021 01:41,J0700
33,17-04-2022 04:41,OOJT7350175,40,24-08-2021 08:54,A0603
34,17-04-2022 04:41,MFMP2395010,40,26-08-2021 01:41,J0701
35,17-04-2022 04:41,SPPD2689622,40,26-08-2021 01:41,J0702
36,17-04-2022 04:41,WBNW7185601,40,26-08-2021 01:41,J0900
37,17-04-2022 04:41,IVEO1102187,40,26-08-2021 01:41,J0901
38,17-04-2022 04:41,NCOR9929482,40,26-08-2021 01:41,J0902
39,17-04-2022 04:41,IXDV3010411,40,24-08-2021 08:54,A0800
40,17-04-2022 04:41,EQXG3186042,40,26-08-2021 01:41,J1100
41,17-04-2022 04:41,TTXW7378769,40,26-08-2021 01:41,J1101
42,17-04-2022 04:41,AUPZ4757701,40,26-08-2021 01:41,J1102
43,17-04-2022 04:41,BHRD1635034,40,26-08-2021 01:41,J1300
44,17-04-2022 04:41,WUNO5675323,40,26-08-2021 01:41,J1301
45,17-04-2022 04:41,SBQH5788609,40,26-08-2021 01:41,J1302
46,17-04-2022 04:41,GTWP2536127,40,26-08-2021 01:41,J1500
47,17-04-2022 04:41,YVCH7477380,40,24-08-2021 08:54,A0801
48,15-03-2022 14:17,RRRF4596747,40,27-06-2021 00:51,J1501
49,15-03-2022 14:17,SMGT1190149,40,27-06-2021 00:51,J1502
50,15-03-2022 14:17,JURS2429201,40,27-06-2021 00:51,J1700
51,15-03-2022 14:17,PZZM2712569,40,27-06-2021 00:51,J1701
52,15-03-2022 14:22,ZNUK2741699,40,27-06-2021 01:02,J1900
53,15-03-2022 14:45,WKYD6828129,40,27-06-2021 01:43,J2100
54,15-03-2022 15:06,TXDW6810537,40,27-06-2021 02:22,J2300
55,15-03-2022 15:45,XGZW9420196,20,24-06-2021 20:25,A0402
56,15-03-2022 15:58,AQNO4611152,20,24-06-2021 20:49,A0403
57,15-03-2022 18:34,IEUD3055749,40,27-06-2021 08:45,J2500
58,15-03-2022 18:34,LRKJ3583844,40,27-06-2021 08:45,J2501
59,15-03-2022 20:16,JTXH0341647,40,27-06-2021 11:53,J2700
60,15-03-2022 20:16,PIMQ5218385,40,27-06-2021 11:53,J2701
61,16-03-2022 02:05,RXZF4012933,40,27-06-2021 22:36,J2900
62,16-03-2022 02:15,WRYG5096666,40,27-06-2021 22:54,J3100
63,16-03-2022 02:54,LUYP7044610,40,28-06-2021 00:06,J3300
64,17-03-2022 03:36,AFEW2216902,40,29-06-2021 21:36,J3500
65,17-03-2022 03:36,MBCS9480544,40,29-06-2021 21:36,J3501
66,17-03-2022 03:48,IHQL4185706,40,29-06-2021 21:57,J3700
67,17-03-2022 04:11,DXIE8371237,40,29-06-2021 22:40,J3900
68,17-03-2022 04:14,WLWK4951538,40,29-06-2021 22:45,J4100
69,17-03-2022 04:21,RHDB6570953,40,29-06-2021 22:57,J4300
70,17-03-2022 04:28,HENZ3650334,40,29-06-2021 23:10,J4500
71,17-03-2022 04:53,IPTX8597968,40,29-06-2021 23:56,J4700
72,17-03-2022 04:53,ZUBM8657142,40,29-06-2021 23:56,J4701
73,17-03-2022 15:22,EUTC4956630,20,30-06-2021 04:53,J0302
74,17-03-2022 16:04,DDTL6981018,40,30-06-2021 20:33,J4900
75,17-03-2022 16:04,AIWS4680807,40,30-06-2021 20:33,J4901
76,17-03-2022 16:04,KWQM1679380,40,30-06-2021 20:33,J4902
77,18-03-2022 02:44,MSQF3564004,40,01-07-2021 16:12,J5100
78,18-03-2022 02:47,GHVU4237617,40,01-07-2021 16:16,J5300
79,18-03-2022 02:49,UXSS7468843,20,01-07-2021 01:59,J5400
80,18-03-2022 03:26,DQND2045116,20,01-07-2021 03:07,J5500
81,18-03-2022 07:55,MOAX6388299,40,02-07-2021 01:45,J5700
82,18-03-2022 07:55,YBVO7008103,40,02-07-2021 01:45,J5701
83,18-03-2022 09:17,YPCU3215096,40,02-07-2021 04:16,J0110
84,18-03-2022 10:10,FPIP3842584,40,30-06-2021 13:05,A0802
85,15-03-2022 11:43,XEQW7526535,40,26-06-2021 20:08,J5702
86,15-03-2022 11:43,DGKT5256545,20,24-06-2021 13:00,A0900
87,15-03-2022 11:43,QXPC8081666,20,24-06-2021 13:00,A0901
88,15-03-2022 11:43,TKCI8732880,20,24-06-2021 13:00,A0902
89,15-03-2022 11:43,TZOO0108476,20,24-06-2021 13:00,A0903
90,15-03-2022 11:43,YLHV0651304,20,24-06-2021 13:00,A1000
91,15-03-2022 11:43,NUSR2822571,20,24-06-2021 13:00,A1001
92,15-03-2022 11:43,QMRA5638049,20,24-06-2021 13:00,A1002
93,15-03-2022 11:43,YKHP2630029,20,24-06-2021 13:00,A1003
94,15-03-2022 11:43,JKTA6878904,20,24-06-2021 13:00,A1100
95,15-03-2022 11:43,LUOT7569694,20,24-06-2021 13:00,A1101
96,15-03-2022 11:43,IOMN7928261,20,24-06-2021 13:00,A1102
97,15-03-2022 11:43,CXXH7531489,20,24-06-2021 13:00,A1103
98,15-03-2022 11:43,YOLQ8251652,20,24-06-2021 13:00,A1200
99,15-03-2022 11:43,OVCP5695696,20,24-06-2021 13:00,A1201
